범죄대분류,아파트_연립다세대,단독주택,고속도로,노상,백화점,슈퍼마켓,편의점,대형할인매장,상점,시장_노점,숙박업소_목욕탕,유흥접객업소,사무실,공장,공사장_광산,창고,역_대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,주차장,공중화장실,피씨방,기타
강력범죄,4212,2707,21,3170,23,132,273,17,477,197,2810,2157,721,91,23,29,328,605,1093,95,244,286,13,438,52,64,8,13,8,3,188,134,38,1806
교통범죄,105,38,5327,300530,1,1,4,0,36,79,7,14,74,9,21,3,7,0,63,4,9,4,1,3,3,56,132,1,0,1,769,0,0,1332
기타범죄,23270,16456,1225,44243,77,588,1871,67,2620,1336,2766,11028,20274,1742,1067,338,3218,173,1743,259,737,1759,209,1826,510,2782,15713,125,33,72,1791,172,943,82049
노동범죄,3,5,0,21,0,0,1,0,1,4,10,44,134,19,7,0,0,1,1,0,0,4,0,3,0,3,4,0,0,0,0,0,0,141
마약범죄,963,1430,7,1719,0,1,17,0,98,30,934,148,152,67,2,6,55,1,127,1,17,7,52,311,3,278,0,0,1,0,90,26,5,1540
병역범죄,128,244,1,76,0,0,0,0,1,0,5,0,248,5,0,0,3,1,1,0,6,10,0,4,0,1,0,76,0,0,0,0,0,1013
보건범죄,1426,874,5,919,1,59,52,1,780,454,164,5865,841,384,3,4,9,0,7,29,49,7,7,964,59,85,2,0,1,2,15,0,41,3827
선거범죄,6,6,0,101,0,0,0,0,3,0,0,7,54,0,0,0,1,0,0,1,0,1,1,0,3,0,0,0,0,0,0,0,0,90
안보범죄,2,6,0,32,0,0,1,0,0,0,3,4,49,2,0,0,0,0,2,0,0,1,3,0,0,0,1,0,0,0,0,0,1,99
절도범죄,16482,8535,99,46374,2142,9920,6143,3350,15031,3970,2666,7116,2282,972,1205,1179,1100,435,2840,364,1493,1026,2881,1139,440,3514,71,9,3,56,9891,727,1253,11701
지능범죄,12468,13695,1057,66079,352,1030,3558,257,6201,1892,1403,12279,38544,1167,1526,166,2022,848,3785,256,1167,434,2686,1927,229,454,213,53,30,18,2341,906,476,181588
특별경제범죄,1278,874,28,4104,50,373,1381,58,2187,686,604,4825,5978,517,355,25,191,17,381,38,57,80,650,564,50,112,10,2,0,5,187,4,91,14946
폭력범죄,43041,24346,379,81460,125,808,2071,146,3142,2392,5306,16823,5946,1279,1125,235,1105,450,3809,180,1835,1194,225,1917,463,1963,122,56,52,40,11227,363,546,18490
풍속범죄,2605,2112,0,2203,36,52,117,16,342,187,661,526,1996,19,2,32,493,414,375,21,205,168,6,41,5,39,4,14,0,0,45,822,258,9544
환경범죄,12,19,3,599,1,1,0,0,43,5,5,2,168,832,262,24,6,1,18,13,5,2,0,7,1,228,170,0,0,13,9,0,0,1207
SUM,106001,71347,8152,551630,2808,12965,15489,3912,30962,11232,17344,60838,77461,7105,5598,2041,8538,2946,14245,1261,5824,4983,6734,9144,1818,9579,16450,349,128,210,26553,3154,3652,329373
